map,agent,maps_played,events_count,pick_rate,atk_side_rate,def_side_rate,agent_picks,total_compositions,pick_rate_from_comps,side_delta,sample_confidence,observed,agent_presence_score
Lotus,viper,45.0,4.0,0.5766666666666668,0.5286666666666666,0.474,,,,0.0547,1.0,True,54.6
Lotus,raze,45.0,4.0,0.3993333333333333,0.5286666666666666,0.474,,,,0.0547,1.0,True,43.96
Lotus,vyse,45.0,4.0,0.32266666666666666,0.5286666666666666,0.474,,,,0.0547,1.0,True,39.36
Lotus,waylay,45.0,4.0,0.28733333333333333,0.5286666666666666,0.474,,,,0.0547,1.0,True,37.24
Lotus,cypher,45.0,4.0,0.16533333333333333,0.5286666666666666,0.474,,,,0.0547,1.0,True,29.92
Lotus,killjoy,45.0,4.0,0.14666666666666667,0.5286666666666666,0.474,,,,0.0547,1.0,True,28.8
Lotus,skye,45.0,4.0,0.12133333333333333,0.5286666666666666,0.474,,,,0.0547,1.0,True,27.28
Lotus,chamber,45.0,4.0,0.078,0.5286666666666666,0.474,,,,0.0547,1.0,True,24.68
Lotus,veto,45.0,4.0,0.076,0.5286666666666666,0.474,,,,0.0547,1.0,True,24.56
Lotus,phoenix,45.0,4.0,0.06666666666666667,0.5286666666666666,0.474,,,,0.0547,1.0,True,24.0
Lotus,deadlock,45.0,4.0,0.02266666666666667,0.5286666666666666,0.474,,,,0.0547,1.0,True,21.36
Lotus,harbor,45.0,4.0,0.021333333333333333,0.5286666666666666,0.474,,,,0.0547,1.0,True,21.28
Lotus,astra,45.0,4.0,0.012,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.72
Lotus,breach,45.0,4.0,0.012,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.72
Lotus,iso,45.0,4.0,0.012,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.72
Lotus,miks,45.0,4.0,0.012,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.72
Lotus,sage,45.0,4.0,0.010666666666666666,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.64
Lotus,brimstone,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
Lotus,clove,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
Lotus,gekko,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
Lotus,jett,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
Lotus,kayo,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
Lotus,reyna,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
Lotus,sova,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
Lotus,tejo,45.0,4.0,0.0,0.5286666666666666,0.474,,,,0.0547,1.0,True,20.0
