event,map,team,opponent,agent
china_stage_1,LOTUS,Dragon Ranger Gaming,EDward Gaming,omen
china_stage_1,LOTUS,Dragon Ranger Gaming,EDward Gaming,skye
china_stage_1,LOTUS,Dragon Ranger Gaming,EDward Gaming,cypher
china_stage_1,LOTUS,Dragon Ranger Gaming,Trace Esports,neon
china_stage_1,LOTUS,Dragon Ranger Gaming,Trace Esports,waylay
china_stage_1,LOTUS,Dragon Ranger Gaming,Trace Esports,omen
china_stage_1,LOTUS,Dragon Ranger Gaming,Trace Esports,skye
china_stage_1,LOTUS,Dragon Ranger Gaming,Trace Esports,cypher
china_stage_1,LOTUS,Trace Esports,Wolves Esports,viper
china_stage_1,LOTUS,Trace Esports,Wolves Esports,omen
china_stage_1,LOTUS,Trace Esports,Wolves Esports,fade
china_stage_1,LOTUS,Trace Esports,Wolves Esports,raze
china_stage_1,LOTUS,Trace Esports,Wolves Esports,veto
china_stage_1,LOTUS,Trace Esports,Xi Lai Gaming,viper
china_stage_1,LOTUS,Trace Esports,Xi Lai Gaming,omen
china_stage_1,LOTUS,Trace Esports,Xi Lai Gaming,fade
china_stage_1,LOTUS,Trace Esports,Xi Lai Gaming,raze
china_stage_1,LOTUS,Trace Esports,Xi Lai Gaming,veto
china_stage_1,LOTUS,Trace Esports,EDward Gaming,viper
china_stage_1,LOTUS,Trace Esports,EDward Gaming,omen
china_stage_1,LOTUS,Trace Esports,EDward Gaming,fade
china_stage_1,LOTUS,Trace Esports,EDward Gaming,raze
