map,agent,maps_played,pick_rate,pick_rate_from_comps,sample_reliability_score,global_pick_rate,local_pick_delta,cross_map_stability_score,map_dependence_score,meta_presence_score,agent_meta_label,tier_score,tier
All Maps,astra,232.0,0.2689383035265388,,0.8539714285714286,0.2522701149425287,0.016657142857142853,0.2154,0.022271428571428564,0.2787571428571428,situational_pick,0.2787571428571428,situational_pick
All Maps,sova,232.0,0.260964035964036,,0.8539714285714286,0.2427011494252873,0.018271428571428567,0.1719,0.024428571428571435,0.2668857142857143,situational_pick,0.2668857142857143,situational_pick
All Maps,brimstone,232.0,0.2602910052910053,,0.8539714285714286,0.2241522988505747,0.03610000000000001,0.0,0.04824285714285716,0.23218571428571427,situational_pick,0.23218571428571427,situational_pick
Bind,neon,30.0,0.8833333333333333,,0.8165,0.8105747126436783,0.0728,0.7902,0.0974,0.6338,global_meta_core,0.6338,global_meta_core
Bind,skye,30.0,0.8993333333333334,,0.8165,0.3345689655172413,0.5648,0.3435,0.7554,0.5509,map_specialist,0.5509,map_specialist
Bind,viper,30.0,0.9013333333333332,,0.8165,0.4952011494252873,0.4061,0.0862,0.5431,0.5002,map_specialist,0.5002,map_specialist
Bind,waylay,30.0,0.616,,0.8165,0.3605603448275862,0.2554,0.6447,0.3416,0.4978,stable_pick,0.4978,stable_pick
Bind,brimstone,30.0,0.9316666666666664,,0.8165,0.2241522988505747,0.7075,0.0,0.9462,0.4951,map_specialist,0.4951,map_specialist
Bind,gekko,30.0,0.0673333333333333,,0.8165,0.0085632183908045,0.0588,0.9428,0.0786,0.338,situational_pick,0.338,situational_pick
Bind,miks,30.0,0.0186666666666666,,0.8165,0.0039942528735632,0.0147,0.9826,0.0197,0.3265,situational_pick,0.3265,situational_pick
Bind,yoru,30.0,0.0166666666666666,,0.8165,0.0022126436781609,0.0145,0.9858,0.0194,0.3263,situational_pick,0.3263,situational_pick
Bind,clove,30.0,0.0,,0.8165,0.0,0.0,1.0,0.0,0.3225,situational_pick,0.3225,situational_pick
Bind,reyna,30.0,0.0,,0.8165,0.0,0.0,1.0,0.0,0.3225,situational_pick,0.3225,situational_pick
Bind,chamber,30.0,0.1346666666666666,,0.8165,0.1258908045977011,0.0088,0.7275,0.0118,0.3218,situational_pick,0.3218,situational_pick
Bind,deadlock,30.0,0.0166666666666666,,0.8165,0.0242097701149425,-0.0075,0.9554,-0.01,0.3202,situational_pick,0.3202,situational_pick
Bind,sage,30.0,0.0,,0.8165,0.0137643678160919,-0.0138,0.9667,-0.0185,0.3158,situational_pick,0.3158,situational_pick
Bind,iso,30.0,0.0,,0.8165,0.0091666666666666,-0.0092,0.9483,-0.0123,0.3121,situational_pick,0.3121,situational_pick
Bind,veto,30.0,0.0,,0.8165,0.0478304597701149,-0.0478,0.8683,-0.0639,0.2961,situational_pick,0.2961,situational_pick
Bind,vyse,30.0,0.0496666666666666,,0.8165,0.123721264367816,-0.0741,0.7524,-0.0991,0.2928,situational_pick,0.2928,situational_pick
Bind,raze,30.0,0.1003333333333333,,0.8165,0.1724425287356322,-0.0721,0.6003,-0.0964,0.2827,situational_pick,0.2827,situational_pick
Bind,phoenix,30.0,0.0843333333333333,,0.8165,0.1569827586206896,-0.0726,0.6265,-0.0971,0.2815,situational_pick,0.2815,situational_pick
Bind,kayo,30.0,0.0493333333333333,,0.8165,0.0654597701149425,-0.0161,0.6782,-0.0215,0.2778,situational_pick,0.2778,situational_pick
Bind,harbor,30.0,0.0,,0.8165,0.0506896551724138,-0.0507,0.7246,-0.0678,0.2674,situational_pick,0.2674,situational_pick
Bind,tejo,30.0,0.0366666666666666,,0.8165,0.095301724137931,-0.0586,0.6285,-0.0784,0.2628,situational_pick,0.2628,situational_pick
Bind,breach,30.0,0.0,,0.8165,0.0576867816091954,-0.0577,0.6438,-0.0772,0.2512,situational_pick,0.2512,situational_pick
Bind,jett,30.0,0.0166666666666666,,0.8165,0.0925143678160919,-0.0758,0.6011,-0.1014,0.2494,situational_pick,0.2494,situational_pick
Bind,killjoy,30.0,0.0,,0.8165,0.1355316091954023,-0.1355,0.6283,-0.1812,0.2481,situational_pick,0.2481,situational_pick
Bind,cypher,30.0,0.0186666666666666,,0.8165,0.233735632183908,-0.2151,0.4393,-0.2877,0.2178,situational_pick,0.2178,situational_pick
Bind,fade,30.0,0.07,,0.8165,0.3588218390804598,-0.2888,0.2934,-0.3863,0.2092,situational_pick,0.2092,situational_pick
Bind,astra,30.0,0.0683333333333333,,0.8165,0.2522701149425287,-0.1839,0.2154,-0.246,0.1929,low_sample_signal,0.1929,low_sample_signal
Bind,sova,30.0,0.0,,0.8165,0.2427011494252873,-0.2427,0.1719,-0.3246,0.1569,low_sample_signal,0.1569,low_sample_signal
Bind,omen,30.0,0.0326666666666666,,0.8165,0.5063362068965518,-0.4737,0.0005,-0.6335,0.1356,low_sample_signal,0.1356,low_sample_signal
