team,map,agents,times_used,teams_using_same_comp,maps_seen,composition_frequency,composition_uniqueness_score,composition_stability_label,sample_reliability_score
LOUD,HAVEN,"neon,omen,sova,viper,vyse",2,1,1,1.0,1.0,team_signature_comp,0.6325
LOUD,LOTUS,"fade,omen,raze,viper,vyse",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
LOUD,PEARL,"astra,chamber,kayo,neon,sova",2,3,1,1.0,0.8462,map_specific_comp,0.6325
LOUD,SPLIT,"cypher,neon,omen,skye,viper",1,2,1,1.0,0.9231,team_signature_comp,0.4472
MIBR,HAVEN,"fade,jett,omen,phoenix,vyse",1,1,1,1.0,1.0,team_signature_comp,0.4472
MIBR,LOTUS,"fade,neon,omen,raze,vyse",1,7,1,1.0,0.5385,standard_meta_comp,0.4472
MIBR,SPLIT,"astra,fade,neon,raze,vyse",2,2,1,1.0,0.9231,team_signature_comp,0.6325
NRG,LOTUS,"fade,neon,omen,viper,vyse",1,8,2,1.0,0.4615,standard_meta_comp,0.4472
NRG,PEARL,"astra,killjoy,neon,sova,tejo",1,1,1,0.5,1.0,team_signature_comp,0.4472
NRG,PEARL,"astra,killjoy,sova,tejo,waylay",1,3,1,0.5,0.8462,map_specific_comp,0.4472
NRG,SPLIT,"deadlock,omen,raze,skye,viper",1,1,1,0.5,1.0,team_signature_comp,0.4472
NRG,SPLIT,"fade,neon,omen,viper,vyse",1,8,2,0.5,0.4615,standard_meta_comp,0.4472
Natus Vincere,BIND,"brimstone,chamber,neon,skye,viper",2,4,1,0.6667,0.7692,standard_meta_comp,0.6325
Natus Vincere,BIND,"brimstone,neon,skye,viper,vyse",1,2,1,0.3333,0.9231,map_specific_comp,0.4472
Natus Vincere,FRACTURE,"chamber,fade,neon,omen,viper",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
Natus Vincere,LOTUS,"chamber,fade,neon,omen,viper",2,3,2,0.6667,0.8462,standard_meta_comp,0.6325
Natus Vincere,LOTUS,"fade,neon,omen,viper,vyse",1,8,2,0.3333,0.4615,standard_meta_comp,0.4472
Natus Vincere,PEARL,"astra,chamber,neon,sova,tejo",1,1,1,0.5,1.0,team_signature_comp,0.4472
Natus Vincere,PEARL,"astra,chamber,sova,tejo,waylay",1,1,1,0.5,1.0,team_signature_comp,0.4472
Natus Vincere,SPLIT,"fade,neon,omen,raze,viper",1,5,2,0.5,0.6923,standard_meta_comp,0.4472
Natus Vincere,SPLIT,"fade,neon,omen,viper,vyse",1,8,2,0.5,0.4615,standard_meta_comp,0.4472
Nongshim RedForce,BREEZE,"harbor,neon,phoenix,sova,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
Nongshim RedForce,FRACTURE,"breach,brimstone,cypher,neon,tejo",2,4,1,1.0,0.7692,standard_meta_comp,0.6325
